username,realm,groups
sa856916,Dart,u_rba_it_enterprise_systems_sa
sa855042,Dart,u_rba_it_enterprise_systems_sa
sa873871,Dart,u_rba_it_enterprise_systems_sa
sa876704,Dart,u_rba_it_enterprise_systems_sa
sa867183,Dart,u_rba_it_enterprise_systems_sa
sa54827,Dart,u_rba_it_enterprise_systems_sa
sa866247,Dart,u_rba_it_enterprise_systems_sa
sa911224,Dart,u_rba_it_enterprise_systems_sa
sa916082,Dart,u_rba_it_enterprise_systems_sa
sa23570, Dart,u_rba_it_client_engineering_sa
sa916539, Dart,u_rba_it_client_engineering_sa
sa919980, Dart,u_rba_it_client_engineering_sa
sa924675, Dart,u_rba_it_client_engineering_sa
sa927432, Dart,u_rba_it_client_engineering_sa
sa928057, Dart,u_rba_it_client_engineering_sa
sa928055, Dart,u_rba_it_client_engineering_sa
sa42322, Dart,u_rba_it_network_sa
dd831420, Dart,u_rba_it_network_sa
dd831369, Dart,u_rba_it_network_sa
dd856076, Dart,u_rba_it_network_sa
sa861839, Dart,u_rba_it_network_sa
sa925797, Dart,u_rba_it_network_sa
sa927515, Dart,u_rba_it_network_sa
sa928070, Dart,u_rba_it_network_sa
sa937483, Dart,u_rba_it_network_sa
sa851045, Dart,u_rba_it_operations_sa
sa853455, Dart,u_rba_it_operations_sa
sa852616, Dart,u_rba_it_operations_sa
sa875706, Dart,u_rba_it_operations_sa
sa917448, Dart,u_rba_it_operations_sa
sa873204, Dart,u_rba_it_operations_sa
sa926327, Dart,u_rba_it_operations_sa
dd852616, Dart,u_rba_it_operations_sa
DD59722, Dart,u_rba_it_operations_sa
dd853455, Dart,u_rba_it_operations_sa
DD851249, Dart,u_rba_it_operations_sa
