roleid,privs
u_rba_it_enterprise_systems_sa,"Group.Allocate, Mapping.Audit, Mapping.Modify, Mapping.Use, Permissions.Modify, Pool.Allocate, Pool.Audit, Realm.AllocateUser, Realm.Allocate, SDN.Allocate, SDN.Audit, Sys.Audit, Sys.Console, Sys.Incoming, Sys.Modify, Sys.AccessNetwork, Sys.PowerMgmt, Sys.Syslog, User.Modify, SDN.Use, VM.Allocate, VM.Audit, VM.Backup, VM.Clone, VM.Config.CDROM, VM.Config.CPU, VM.Config.Cloudinit, VM.Config.Disk, VM.Config.HWType, VM.Config.Memory, VM.Config.Network, VM.Config.Options, VM.Console, VM.GuestAgent.Audit, VM.GuestAgent.FileRead, VM.GuestAgent.FileSystemMgmt, VM.GuestAgent.FileWrite, VM.GuestAgent.Unrestricted, VM.Migrate, VM.PowerMgmt, VM.Replicate, VM.Snapshot.Rollback, VM.Snapshot, Datastore.Allocate, Datastore.AllocateSpace, Datastore.AllocateTemplate, Datastore.Audit"
u_rba_it_network_sa,"Sys.Modify, VM.Audit, VM.Config.Disk, VM.Config.Network, VM.Config.Options, VM.Console"
u_rba_it_operations_sa,"VM.Console, VM.Power"
uas_endpoint_eng,"Datastore.AllocateSpace,VM.Allocate, VM.Config.Network, VM.Console, VM.PowerMgmt, VM.Config.Options"
uas_app_admin,"VM.Audit,VM.Config.Options,VM.Config.CPU,VM.Config.Memory,VM.Config.Disk,VM.Config.HWType,VM.Config.Network,VM.Config.CDROM,VM.Console,VM.PowerMgmt,VM.Snapshot,VM.Snapshot.Rollback,Datastore.Audit,Sys.Audit"
u_rba_it_enterprise_backup_and_recovery_sa, "VM.Audit,VM.Config.Options,VM.Config.CPU,VM.Config.Memory,VM.Config.Disk,VM.Config.HWType,VM.Config.Network,VM.Config.CDROM,VM.Console,VM.PowerMgmt,VM.Snapshot,VM.Snapshot.Rollback,Datastore.Audit,Sys.Audit"
